Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,Relatedsourcelinks
SE.PRM.ENRR.FE,"""School enrollment, primary, female (% gross)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.""",Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Gross enrollment ratio for primary school is calculated by dividing the number of students enrolled in primary education regardless of age by the population of the age group which officially corresponds to primary education, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.ENRR.MA,"""School enrollment, primary, male (% gross)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.""",Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Gross enrollment ratio for primary school is calculated by dividing the number of students enrolled in primary education regardless of age by the population of the age group which officially corresponds to primary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.GINT.ZS,"""Gross intake ratio in first grade of primary education, total (% of relevant age group)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age, expressed as a percentage of the population of the official primary entrance age.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,"""The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large.""","""The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.""",,"""Gross intake ratio in the first grade of primary education is calculated by dividing the number of new entrants (enrollments minus repeaters) in the first grade of primary education, regardless of age, by the population of the official primary entrance age and multiplying the result by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NENR,"""School enrollment, primary (% net)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Net enrollment rate for primary school is calculated by dividing the number of students of official school age enrolled in primary education by the population of the age group which officially corresponds to primary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NENR.FE,"""School enrollment, primary, female (% net)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Net enrollment rate for primary school is calculated by dividing the number of students of official school age enrolled in primary education by the population of the age group which officially corresponds to primary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NENR.MA,"""School enrollment, primary, male (% net)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net enrollment rate is the ratio of children of official school age who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Net enrollment rate for primary school is calculated by dividing the number of students of official school age enrolled in primary education by the population of the age group which officially corresponds to primary education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NINT.FE.ZS,"""Net intake rate in grade 1, female (% of official school-age population)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"""The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.""",,"""Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NINT.MA.ZS,"""Net intake rate in grade 1, male (% of official school-age population)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"""The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.""",,"""Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population),Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Net intake rate in grade 1 is the number of new entrants in the first grade of primary education who are of official primary school entrance age, expressed as a percentage of the population of the corresponding age.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,The net intake rate in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A high net intake rate indicates a high degree of access to primary education for the official primary school entrance age children.,"""The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.""",,"""Net intake rate in the first grade of primary education is calculated by dividing the number of children of official primary school entrance age who enter grade 1 of primary education for the first time by the population of the same age, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.PRS5.FE.ZS,"""Persistence to grade 5, female (% of cohort)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"""The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.""",,"""Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.PRS5.MA.ZS,"""Persistence to grade 5, male (% of cohort)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"""The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.""",,"""Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.TCHR.FE.ZS,"""Primary education, teachers (% female)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Female teachers as a percentage of total primary education teachers includes full-time and part-time teachers.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,The share of female teachers shows the level of gender representation in the teaching force. A value of greater than 50% indicates more opportunities or preference for women to participate in teaching activities. Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,,,"""The share of female teachers in primary education is calculated by dividing the total number of female teachers at primary level of education by the total number of teachers at the same level, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.TENR,"""Adjusted net enrollment rate, primary (% of primary school age children)""",Weighted Average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,"""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.TENR.FE,"""Adjusted net enrollment rate, primary, female (% of primary school age children)""",Weighted Average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,"""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.TENR.MA,"""Adjusted net enrollment rate, primary, male (% of primary school age children)""",Weighted Average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.""",Annual,,,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education,,,"""Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments. The adjusted net enrollment rate in primary education captures primary school-age children who have progressed to secondary education faster than their peers have and who are not counted in the traditional net enrollment rate.""","""Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.""",,"""Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.UNER,"""Children out of school, primary""",Sum,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.""","""Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.""",,"""The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
SE.PRM.UNER.FE,"""Children out of school, primary, female""",Sum,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.""","""Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.""",,"""The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).""",,,,,
